EXP_NAME,EXPERIMENTER,MODEL_FAMILY,SEED,N_FOLDS,FEATURE_MODE,SCALER_TYPE,USE_PCA,PCA_N_COMPONENTS,IMBALANCE_MODE,train_size,cv_f1_macro_mean,cv_f1_macro_std,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,colsample_bytree,eval_metric,gamma,learning_rate,max_depth,min_child_weight,n_estimators,n_jobs,objective,random_state,reg_alpha,reg_lambda,subsample,tree_method,use_label_encoder
experiment_1B,Maryam,xgboost,42,5,img+text,none,False,256,none,1530,0.5615699148906791,0.036966344940978356,,,312.7380485534668,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,6,1.0,600,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,none,False,256,none,1530,0.5510297287223797,0.028305455501059833,,,236.36229825019836,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,6,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,none,False,256,none,1530,0.545343515201502,0.02616358990083311,,,132.08777689933777,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,4,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,none,False,256,none,1530,0.5492408448932284,0.0457337755698262,,,190.72704935073853,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,False,256,none,1530,0.5492408448932284,0.0457337755698262,,,197.86547136306763,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,False,256,none,1530,0.5492408448932284,0.0457337755698262,,,195.01219034194946,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,256,none,1530,0.5158366624345142,0.02592088487045258,,,54.19159770011902,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,none,1530,0.5817656822810637,0.04883840584967086,,,15.331077098846436,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,128,none,1530,0.5494414684252802,0.014069393542376556,,,31.289820909500122,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,512,none,1530,0.48761449521077804,0.014918371178057794,,,105.43816542625427,submissions\submission.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,none,True,64,none,1530,0.564023502001028,0.05632164476790788,,,16.160509824752808,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,minmax,True,64,none,1530,0.5752614215809395,0.0408707154610201,,,16.03768277168274,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,maxabs,True,64,none,1530,0.5587046475760242,0.03291490988565647,,,16.483717918395996,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,robust,True,64,none,1530,0.564271068230197,0.018239250138392407,,,15.794573783874512,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,standard,True,64,balanced,1530,0.5817656822810637,0.04883840584967086,,,19.066429376602173,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,maxabs,True,64,none,1530,0.5587046475760242,0.03291490988565647,,,16.511289358139038,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
experiment_1B,Maryam,xgboost,42,5,img+text,robust,True,64,none,1530,0.564271068230197,0.018239250138392407,,,15.965194463729858,submissions\xgboost_Maryam.csv,"XGB baseline: no PCA, hist, lr=0.05, depth=6.",0.8,logloss,0.0,0.05,9,1.0,300,-1,binary:logistic,42,0.0,1.0,0.8,hist,False
