row_id,target
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,0
114,1
115,1
116,1
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,1
145,1
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,0
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,0
217,1
218,1
219,0
220,0
221,1
222,1
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,1
237,1
238,0
239,1
240,0
241,0
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,0
262,1
263,1
264,0
265,1
266,0
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,0
297,0
298,0
299,0
300,1
301,1
302,1
303,1
304,1
305,0
306,0
307,1
308,1
309,1
310,1
311,0
312,0
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,0
337,1
338,1
339,0
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,0
361,0
362,1
363,1
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,1
377,0
378,0
379,1
380,0
381,0
382,1
383,0
384,0
385,1
386,0
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,1
404,1
405,0
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,0
442,0
443,1
444,0
445,1
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,0
463,1
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,1
485,1
486,1
487,0
488,0
489,1
490,1
491,1
492,0
493,0
494,0
495,1
496,1
497,1
498,0
499,1
500,1
